Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
,Zadar,,"15,2333","44,1167",,,,7015549
,Duesseldorf,,,,,,,
,Venedig,,"12,5667","45,5833",,,,7003006
,Eisenach,,"10,3167","50,9833",,,,7005969
,Göttingen,,"9,95","51,5333",,,,7005246
,Deutschlands,,,,,,,
,Rolduc,,,,,,,
,Neapel,,"14,25","40,8333",,,,7004474
,Kiel,,"10,1333","54,3333",,,,7004457
,Heidelberg,,"8,7","49,4167",,,,7005177
,Jena,,"11,5833","50,9333",,,,7005973
,Dorpat,,"26,745","58,366",,,,7006624
,Stresa,,"8,5333","45,8833",,,,7005657
,Florenz,,"11,25","43,783",,,,7000457
,Brescia,,"10,2167","45,55",,,,7005764
,Mantua,,"10,7833","45,1667",,,,7005880
,Genua,,"8,95","44,4167",,,,7008546
,Ravenna,,"11,9833","44,4167",,,,7003133
,Modena,,"10,9","44,5",,,,7004597
,Bologna,,"11,3333","44,5",,,,7004847
,Spalato,,"16,4667","43,5167",,,,7015546
,Salona,,"16,5","43,55",,,,7017320
,Herkulaneum,,,,,,,
,Pompeji,,,,,,,
,Ragusa,,"18,1167","42,6667",,,,7015500
,Großwardein,,,,,,,
,Ödenburg,,"16,5833","47,6667",,,,7010514
,Neu-verbaß,,,,,,,
,Comorn,,"-77,2167","38,2667",,,,2111302
,Brixen,,"11,6667","46,7167",,,,7005433
,Wilten,,"11,423","47,25",,,,7031464
,Stams,,"10,9833","47,2667",,,,7003252
,Neustift,,"11,65","46,7333",,,,7015813
,Fiecht,,,,,,,
,Marienberg,,"13,1833","50,6333",,,,1037268
,Innichen,,"12,2667","46,7333",,,,7005435
,Arco,,"10,8833","45,9167",,,,1043264
,Roveredo,,"9,15","56,2333",,,,1064344
,Bozen,,"11,3667","46,5167",,,,7004967
,Gries,,,,,,,4004583
,Meran,,"11,15","46,6667",,,,7005432
,Hall,,"-97,05","37,3333",,,,2274361
,Rattenberg,,,,,,,4009124
,Kitzbühel,,"12,3833","47,45",,,,7003244
,Kufstein,,"12,1833","47,6",,,,7016924
